City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lompoc,34.6391,-120.4579,290.38,84,100,4.63,US,1679341826
1,jamestown,42.097,-79.2353,280.66,31,0,7.2,US,1679342057
2,provideniya,64.3833,-173.3,270.62,95,100,12.7,RU,1679342067
3,portobelo,9.55,-79.65,302.65,73,93,5.31,PA,1679342068
4,yellowknife,62.456,-114.3525,263.46,52,40,3.6,CA,1679341843
5,barrow,71.2906,-156.7887,256.16,85,0,4.12,US,1679342068
6,port elizabeth,-33.918,25.5701,293.32,80,0,5.14,ZA,1679342070
7,gorontalo,0.5412,123.0595,296.7,94,100,1.05,ID,1679342071
8,ushuaia,-54.8,-68.3,283.94,76,75,13.89,AR,1679341984
9,chokurdakh,70.6333,147.9167,244.18,92,100,8.52,RU,1679342073
10,khasan,42.4308,130.6434,276.05,76,71,1.62,RU,1679342073
11,rikitea,-23.1203,-134.9692,299.58,78,2,5.77,PF,1679342074
12,punta arenas,-53.15,-70.9167,287.16,62,40,14.4,CL,1679342076
13,puerto ayora,-0.7393,-90.3518,304.13,86,61,4.92,EC,1679342076
14,ilulissat,69.2167,-51.1,271.16,54,20,1.54,GL,1679342077
15,hilo,19.7297,-155.09,299.96,74,75,4.02,US,1679342077
16,airai,-8.9266,125.4092,287.34,87,81,0.85,TL,1679342077
17,port alfred,-33.5906,26.891,293.65,80,100,4.04,ZA,1679342078
18,vaini,-21.2,-175.2,299.24,83,75,4.12,TO,1679341793
19,nagato,34.3833,131.2,286.36,89,100,6.06,JP,1679342079
20,hobart,-42.8794,147.3294,279.85,90,0,4.63,AU,1679342079
21,new norfolk,-42.7826,147.0587,279.66,73,8,0.82,AU,1679342080
22,aleksandro-nevskiy,53.4751,40.2095,274.44,96,100,1.43,RU,1679342080
23,sabang,5.8933,95.3214,300.86,74,100,5.11,ID,1679342081
24,codrington,-38.2667,141.9667,285.95,78,100,4.6,AU,1679342081
25,mataura,-46.1927,168.8643,281.47,81,100,4.88,NZ,1679342082
26,hermanus,-34.4187,19.2345,293.04,69,11,8.56,ZA,1679342082
27,padang,-0.9492,100.3543,297.18,91,100,1.64,ID,1679342083
28,busselton,-33.65,115.3333,293.43,62,1,6.41,AU,1679342083
29,dikson,73.5069,80.5464,256.18,98,91,3.8,RU,1679342084
30,saskylakh,71.9167,114.0833,234.73,99,43,2.58,RU,1679342084
31,cidreira,-30.1811,-50.2056,298.76,76,52,3.13,BR,1679342085
32,kodiak,57.79,-152.4072,273.88,75,100,2.57,US,1679341863
33,lavrentiya,65.5833,-171.0,268.86,92,100,14.38,RU,1679342085
34,carnarvon,-24.8667,113.6333,296.24,80,6,7.65,AU,1679341798
35,ontario,34.0633,-117.6509,291.14,81,75,5.14,US,1679342024
36,toma,12.7667,-2.8833,303.53,9,5,1.24,BF,1679342086
37,esperance,-33.8667,121.9,291.2,79,32,6.4,AU,1679342086
38,inhambane,-23.865,35.3833,298.14,83,20,3.01,MZ,1679342087
39,tautira,-17.7333,-149.15,300.57,78,100,5.66,PF,1679342087
40,iqaluit,63.7506,-68.5145,249.09,76,0,10.29,CA,1679342088
41,bredasdorp,-34.5322,20.0403,291.97,54,17,6.19,ZA,1679342088
42,kahului,20.8947,-156.47,300.91,66,20,4.12,US,1679341884
43,albany,42.6001,-73.9662,283.74,18,0,1.34,US,1679341888
44,haysville,37.5645,-97.3523,288.79,33,75,13.89,US,1679342089
45,aitape,-3.1374,142.3475,297.98,89,44,1.98,PG,1679342089
46,faanui,-16.4833,-151.75,301.26,68,8,3.95,PF,1679342090
47,havoysund,70.9963,24.6622,270.28,56,100,3.77,NO,1679342090
48,champerico,14.3,-91.9167,307.45,64,18,5.95,GT,1679342091
49,sambava,-14.2667,50.1667,298.43,87,100,3.29,MG,1679342091
50,klaksvik,62.2266,-6.589,276.66,79,100,12.65,FO,1679342092
51,olafsvik,64.8945,-23.7142,272.57,70,78,7.46,IS,1679341911
52,rambha,19.5167,85.1,298.11,80,12,4.49,IN,1679342092
53,santa marta,11.2408,-74.199,305.31,54,20,4.12,CO,1679342094
54,domanivka,47.6319,30.9885,282.52,61,100,3.03,UA,1679342096
55,castro,-24.7911,-50.0119,297.04,71,42,1.89,BR,1679342097
56,kushiro,42.975,144.3747,275.77,77,11,1.07,JP,1679342098
57,eureka,40.8021,-124.1637,286.59,69,22,1.79,US,1679342099
58,larsnes,62.2028,5.5773,274.82,89,31,2.01,NO,1679342099
59,kodumudi,11.0775,77.8836,299.21,68,100,2.66,IN,1679342100
60,pontianak,-0.0333,109.3333,296.14,100,100,1.54,ID,1679342101
61,chietla,18.5167,-98.5833,303.25,22,0,2.7,MX,1679342102
62,cabo san lucas,22.8909,-109.9124,301.27,65,27,2.4,MX,1679341951
63,cape town,-33.9258,18.4232,292.1,79,75,8.75,ZA,1679341381
64,arraial do cabo,-22.9661,-42.0278,306.13,65,20,8.23,BR,1679342103
65,mangaluru,12.8667,74.8833,297.63,69,17,0.0,IN,1679342104
